-0.052554,0.12443,-2.1147,-0.15675,0.13777,0.11108,0.13115,-0.011678,0.13931,0.14512
0.076382,-0.038913,0.13349,0.31137,0.36009,0.35388,0.35135,0.35128,0.33644,0.37126
0.15077,-0.13072,0.33463,0.33333,0.34932,0.33564,0.33953,0.37191,0.31835,0.32374
0.020596,0.0057415,0.29362,0.3332,0.33009,0.30037,0.32403,0.35614,0.31647,0.32632
-0.010146,0.035985,0.35417,0.35072,0.41491,0.43229,0.39247,0.37184,0.34966,0.35847
0.067823,-0.040259,0.28467,0.33585,0.3437,0.35008,0.34109,0.34532,0.32475,0.35337
0.064812,-0.031979,0.53358,0.38266,0.39174,0.41802,0.40166,0.42277,0.48315,0.4345
0.033003,-0.0038133,0.479,0.33333,0.4144,0.45639,0.43755,0.48658,0.50874,0.45803
0.0081483,0.016886,0.36926,0.33912,0.37134,0.36692,0.3652,0.37038,0.36573,0.38683
0.034374,-0.011566,0.38342,0.35172,0.39413,0.36601,0.3838,0.37439,0.34838,0.34672
0.1005,-0.081733,0.29334,0.32879,0.31294,0.30242,0.31884,0.33241,0.28568,0.30874
0.061923,-0.043973,0.36159,0.33123,0.32387,0.28353,0.31831,0.32805,0.32244,0.32192
0.081475,-0.06477,0.33813,0.33346,0.38861,0.39337,0.36714,0.36807,0.34421,0.38967
0.084315,-0.067278,0.40395,0.3609,0.39228,0.34515,0.3732,0.38451,0.35953,0.33543
0.045719,-0.028558,0.32794,0.33333,0.37325,0.39359,0.36492,0.37383,0.34105,0.38994
0.069386,-0.053011,0.36485,0.33333,0.34744,0.33316,0.34553,0.35545,0.35834,0.3436
0.080008,-0.063025,0.30777,0.33333,0.34006,0.32871,0.33532,0.34252,0.30306,0.33539
0.068249,-0.048304,0.41615,0.33333,0.42329,0.38087,0.40169,0.37604,0.37217,0.3844
0.11847,-0.09371,0.34697,0.33398,0.41431,0.46426,0.40954,0.38314,0.37605,0.41993
0.11714,-0.091747,0.38312,0.33333,0.53663,0.63872,0.51065,0.41982,0.41231,0.44085
0.15993,-0.12918,0.31388,0.33333,0.3706,0.4071,0.36954,0.35483,0.34364,0.42075
0.1137,-0.082018,0.36247,0.33333,0.36668,0.38923,0.35348,0.36853,0.34339,0.36985
0.1477,-0.12003,0.32349,0.33333,0.34513,0.35388,0.34313,0.34945,0.34278,0.38312
0.10459,-0.071482,0.35003,0.33293,0.38386,0.38031,0.37907,0.36893,0.35624,0.41709
0.11392,-0.082098,0.32116,0.33333,0.3421,0.33269,0.3424,0.33698,0.31976,0.35107
0.09407,-0.060078,0.31631,0.33333,0.3561,0.33907,0.34352,0.34109,0.30552,0.33988
