pleasantness,eventfulness,FGfeat,birds,speech,child,bike,scooter,car,heavy
-0.052554,0.12443,0.29379,0.33333,0.34335,0.34981,0.34367,0.34368,0.34504,0.3363
-0.18567,0.24592,0.32884,0.33333,0.33928,0.34312,0.33942,0.34258,0.34416,0.31958
-0.13136,0.19722,0.32209,0.33333,0.33293,0.33267,0.33316,0.33253,0.33715,0.31275
-0.07079,0.13097,0.33072,0.3363,0.34256,0.34851,0.34204,0.34034,0.36059,0.3469
-0.056171,0.10812,0.34785,0.33668,0.33729,0.33985,0.33902,0.33854,0.35583,0.33614
-0.041911,0.087086,0.313,0.33333,0.3361,0.33789,0.33823,0.34113,0.35464,0.32301
-0.071502,0.11281,0.33398,0.33333,0.33333,0.33333,0.33341,0.33345,0.33958,0.34019
-0.059796,0.096162,0.32115,0.33333,0.33333,0.33333,0.33333,0.33333,0.34632,0.29019
-0.050943,0.080474,0.3274,0.33333,0.33333,0.33333,0.33333,0.33333,0.34348,0.3079
-0.084182,0.10935,0.35657,0.33333,0.33453,0.3353,0.33098,0.32795,0.34684,0.31745
-0.055214,0.075105,0.3644,0.33333,0.33452,0.33528,0.33157,0.32938,0.35737,0.32894
-0.076754,0.091913,0.35991,0.33333,0.33484,0.33582,0.33562,0.3371,0.35866,0.32677
-0.066634,0.075453,0.36873,0.33386,0.33519,0.33639,0.33641,0.33735,0.36114,0.33403
-0.096873,0.10087,0.36203,0.33682,0.33333,0.33333,0.33333,0.33333,0.36645,0.34139
-0.085154,0.085426,0.37756,0.33333,0.33404,0.3345,0.33411,0.33393,0.37143,0.35338
-0.080417,0.073853,0.36961,0.33333,0.33432,0.33496,0.33654,0.33685,0.37751,0.33032
-0.10427,0.09086,0.37888,0.33333,0.33237,0.33175,0.33396,0.33429,0.38076,0.3369
-0.090518,0.073019,0.3886,0.33333,0.33288,0.33259,0.33866,0.34072,0.38112,0.33987
-0.061017,0.037471,0.38497,0.33333,0.33554,0.33696,0.33679,0.33493,0.37482,0.35095
-0.082183,0.050528,0.39712,0.33333,0.33499,0.33606,0.33514,0.33489,0.37363,0.33335
-0.088327,0.051487,0.39371,0.33333,0.34003,0.34435,0.34115,0.34015,0.38276,0.34259
-0.10158,0.059443,0.39068,0.33333,0.3342,0.33475,0.3342,0.3344,0.38397,0.33795
-0.099051,0.052929,0.37056,0.33605,0.33449,0.33523,0.33454,0.33438,0.37305,0.35789
-0.077278,0.025225,0.3876,0.33333,0.34237,0.34821,0.34495,0.34457,0.39413,0.33021
-0.1046,0.047257,0.41204,0.33333,0.34064,0.34536,0.34629,0.34877,0.40247,0.35956
-0.10468,0.043241,0.40504,0.33333,0.33491,0.33593,0.33598,0.33833,0.38559,0.33402
-0.10692,0.039947,0.35896,0.33333,0.33156,0.33042,0.33464,0.33649,0.37097,0.33451
-0.11707,0.043793,0.35303,0.33333,0.32911,0.32638,0.33069,0.33347,0.36819,0.31279
-0.12411,0.048205,0.35028,0.33333,0.33203,0.33118,0.33216,0.33235,0.36642,0.30253
-0.12356,0.043763,0.34953,0.33333,0.33082,0.32921,0.32977,0.32887,0.37352,0.30511
-0.096928,0.013432,0.34991,0.33333,0.33202,0.33118,0.33012,0.32956,0.36563,0.30489
-0.13433,0.045171,0.35167,0.3375,0.33301,0.33281,0.33313,0.33315,0.36452,0.3281
-0.13318,0.040742,0.34002,0.33333,0.33298,0.33275,0.33379,0.33465,0.36061,0.30351
-0.12175,0.025203,0.33344,0.33333,0.33364,0.33383,0.33337,0.33277,0.3517,0.31919
-0.12168,0.024533,0.35048,0.33333,0.33551,0.33692,0.33,0.32556,0.36122,0.31514
-0.12751,0.025244,0.33529,0.33333,0.33397,0.33438,0.33509,0.33506,0.35405,0.3042
-0.12148,0.015641,0.35004,0.33333,0.33333,0.33333,0.3326,0.3321,0.34716,0.32571
-0.12331,0.012514,0.36137,0.33333,0.33333,0.33333,0.33489,0.33631,0.37502,0.31661
-0.13792,0.025107,0.36367,0.33333,0.33238,0.33176,0.33235,0.3319,0.36764,0.33088
-0.1423,0.025057,0.39802,0.33333,0.33264,0.3322,0.33357,0.33345,0.37828,0.33242
-0.1479,0.023698,0.43683,0.34079,0.33524,0.33646,0.33759,0.33838,0.3876,0.34029
-0.12976,-0.0025672,0.45087,0.33333,0.34594,0.35408,0.35279,0.35177,0.42807,0.36451
-0.13902,-0.00072444,0.44947,0.33333,0.33333,0.33333,0.33471,0.33557,0.40943,0.34588
-0.12802,-0.020342,0.44143,0.33333,0.33346,0.33354,0.33605,0.3374,0.41384,0.33986
-0.133,-0.022398,0.4239,0.33333,0.33447,0.3352,0.33484,0.33226,0.38821,0.33817
-0.14111,-0.02077,0.42905,0.33333,0.34091,0.34581,0.34334,0.34553,0.40917,0.35287
-0.164,-0.0044789,0.44514,0.33333,0.34477,0.35216,0.34809,0.34769,0.42013,0.36567
-0.16283,-0.011335,0.42042,0.33333,0.34492,0.35239,0.3503,0.34954,0.41065,0.35925
-0.16954,-0.010884,0.43107,0.33338,0.33691,0.33922,0.34066,0.33637,0.39803,0.33872
-0.18426,-0.0027365,0.45494,0.33684,0.33802,0.34104,0.34253,0.33633,0.40561,0.34365
-0.16696,-0.026218,0.44736,0.33811,0.33964,0.3437,0.34356,0.34014,0.39957,0.36304
-0.1762,-0.024758,0.42617,0.33333,0.33329,0.33327,0.32906,0.3275,0.37218,0.329
-0.16333,-0.04425,0.42697,0.33333,0.33613,0.33793,0.33727,0.33411,0.37779,0.34747
-0.18242,-0.030605,0.42982,0.33333,0.33304,0.33284,0.33353,0.3281,0.37867,0.31271
-0.19206,-0.02595,0.40307,0.33333,0.33169,0.33062,0.33364,0.32735,0.36395,0.32192
-0.19622,-0.026964,0.40236,0.33333,0.3333,0.33327,0.33551,0.33237,0.37048,0.29966
-0.18563,-0.041454,0.38927,0.33333,0.33467,0.33553,0.33256,0.33276,0.3682,0.28941
-0.19476,-0.037329,0.40893,0.33333,0.33215,0.33139,0.32916,0.32737,0.3701,0.27351
-0.214,-0.022783,0.39645,0.33324,0.3334,0.33344,0.32976,0.32857,0.37341,0.28395
-0.18404,-0.05439,0.4031,0.34,0.33525,0.33649,0.33706,0.33572,0.38196,0.32865
-0.19092,-0.051108,0.39456,0.33333,0.33306,0.33288,0.32437,0.31967,0.37135,0.32473
-0.21223,-0.032498,0.38541,0.33333,0.33432,0.33496,0.33034,0.32895,0.36756,0.32038
-0.21513,-0.033097,0.36286,0.33333,0.33427,0.33488,0.32654,0.32273,0.35719,0.32619
-0.23413,-0.017275,0.36832,0.33333,0.33332,0.33331,0.32302,0.31728,0.35027,0.32439
-0.22843,-0.025027,0.37137,0.33333,0.33334,0.33335,0.32734,0.32366,0.34756,0.32725
-0.23017,-0.026217,0.36792,0.33333,0.33333,0.33333,0.32387,0.31832,0.35171,0.32458
-0.23092,-0.028188,0.36874,0.33333,0.33293,0.33267,0.32322,0.3181,0.34681,0.32442
-0.2361,-0.02437,0.35681,0.33333,0.32943,0.32692,0.31567,0.30969,0.33348,0.32029
-0.23369,-0.027956,0.37984,0.34024,0.33375,0.33402,0.33404,0.3344,0.36156,0.32226
-0.23634,-0.02895,0.37381,0.33333,0.33304,0.33285,0.33304,0.33287,0.36681,0.27685
-0.20874,-0.059111,0.38892,0.33333,0.33623,0.3381,0.33167,0.33028,0.37979,0.29011
-0.22531,-0.044031,0.35305,0.33333,0.33179,0.3308,0.32656,0.32126,0.36595,0.26853
-0.22963,-0.041162,0.36444,0.33333,0.33187,0.33093,0.32879,0.3265,0.36828,0.26798
-0.22686,-0.048274,0.35464,0.33333,0.33161,0.33049,0.32497,0.31982,0.35469,0.25371
-0.22169,-0.05483,0.35192,0.33333,0.33404,0.3345,0.32632,0.32239,0.35124,0.26855
-0.22531,-0.052044,0.34944,0.33333,0.3311,0.32966,0.32512,0.32037,0.35134,0.25095
-0.22858,-0.047879,0.33243,0.33333,0.33292,0.33266,0.31839,0.30763,0.32436,0.27456
-0.21543,-0.060975,0.32449,0.33426,0.33345,0.33353,0.32998,0.32642,0.34558,0.32802
-0.22239,-0.054421,0.30626,0.33333,0.33012,0.32805,0.32594,0.32283,0.3286,0.25897
-0.22473,-0.052318,0.31046,0.33333,0.33333,0.33333,0.32774,0.32261,0.33301,0.27475
-0.23594,-0.040482,0.29281,0.33333,0.33333,0.33333,0.32402,0.31451,0.33171,0.2871
-0.24821,-0.027584,0.29571,0.33333,0.33333,0.33333,0.32873,0.32408,0.3302,0.32595
-0.2425,-0.032853,0.3085,0.33333,0.33095,0.32941,0.32942,0.32855,0.33633,0.32795
-0.21918,-0.057438,0.32037,0.33333,0.3336,0.33378,0.32893,0.32301,0.33956,0.32464
-0.23297,-0.043904,0.30549,0.33333,0.33333,0.33333,0.32548,0.31798,0.33741,0.32349
-0.22673,-0.051219,0.319,0.33333,0.33385,0.33418,0.31821,0.30647,0.33662,0.31891
-0.24589,-0.033487,0.31553,0.33618,0.33262,0.33215,0.32821,0.32474,0.35816,0.32687
-0.25237,-0.028105,0.32917,0.3343,0.33296,0.33271,0.32794,0.32203,0.3426,0.32186
-0.25403,-0.028639,0.29885,0.33333,0.33379,0.33409,0.32402,0.31549,0.34394,0.3248
-0.24523,-0.036635,0.33703,0.33333,0.33292,0.33266,0.32531,0.32061,0.35148,0.31645
-0.24929,-0.029807,0.34855,0.33333,0.3354,0.33673,0.33115,0.32755,0.36768,0.30012
-0.24769,-0.030481,0.3196,0.33333,0.33446,0.33519,0.31939,0.30814,0.33183,0.2924
-0.24492,-0.033379,0.32276,0.33364,0.33282,0.33249,0.32009,0.31004,0.33823,0.2646
-0.2551,-0.024815,0.29089,0.33333,0.33137,0.33011,0.32364,0.31659,0.33988,0.2069
-0.21288,-0.0657,0.2903,0.33333,0.33511,0.33626,0.31188,0.29505,0.29922,0.23877
-0.21522,-0.061978,0.30277,0.33242,0.33264,0.33219,0.32468,0.31754,0.32119,0.31734
-0.23191,-0.047455,0.28676,0.33689,0.33217,0.33142,0.32769,0.32385,0.31617,0.27955
-0.24732,-0.033626,0.28141,0.33333,0.32984,0.32759,0.31191,0.29623,0.29294,0.19561
-0.2054,-0.073066,0.2866,0.33333,0.32926,0.32663,0.3132,0.29772,0.29231,0.1747
-0.22547,-0.050684,0.28888,0.33333,0.33113,0.32971,0.31246,0.29528,0.29245,0.21674
-0.2256,-0.044969,0.29293,0.33333,0.33283,0.33251,0.30859,0.28766,0.28393,0.24442
-0.22344,-0.046187,0.29092,0.33333,0.33111,0.32967,0.31055,0.29149,0.29088,0.23033
-0.23844,-0.028778,0.27773,0.33333,0.33147,0.33026,0.31342,0.29537,0.29124,0.23373
-0.23332,-0.031009,0.27403,0.33333,0.33337,0.3334,0.32586,0.31832,0.31055,0.20381
-0.23781,-0.025294,0.29052,0.33868,0.33668,0.33884,0.32951,0.32473,0.32408,0.26207
-0.25123,-0.010853,0.29011,0.34356,0.33318,0.33309,0.33109,0.32826,0.31767,0.30708
-0.2239,-0.038266,0.27574,0.33333,0.33298,0.33274,0.31246,0.29435,0.28047,0.25136
-0.22061,-0.041175,0.27323,0.33333,0.33088,0.32929,0.31461,0.29921,0.29161,0.20261
-0.22759,-0.029371,0.28439,0.33333,0.33193,0.33102,0.31505,0.29807,0.28985,0.22402
-0.23799,-0.017461,0.27098,0.33333,0.33227,0.33158,0.32152,0.30841,0.2916,0.25619
-0.22158,-0.032198,0.28655,0.33333,0.33289,0.33261,0.32302,0.31195,0.30593,0.21994
-0.2535,-0.00050258,0.28973,0.33333,0.33828,0.34147,0.32883,0.31866,0.31674,0.24717
-0.22978,-0.02333,0.28497,0.33333,0.33825,0.34142,0.3258,0.3126,0.30482,0.24705
-0.23333,-0.019399,0.28998,0.33382,0.33332,0.33332,0.32361,0.31285,0.30738,0.28376
-0.2135,-0.04084,0.32463,0.3511,0.34271,0.34875,0.34923,0.35182,0.3423,0.3378
-0.23395,-0.022762,0.29827,0.33967,0.3471,0.35598,0.33249,0.31468,0.29727,0.23663
-0.2144,-0.042489,0.29272,0.33333,0.33105,0.32957,0.32066,0.30784,0.28311,0.19487
-0.22961,-0.028046,0.29549,0.33333,0.33492,0.33594,0.33694,0.33713,0.31335,0.35309
-0.26,0.0015723,0.27557,0.33333,0.33305,0.33286,0.3341,0.33401,0.3064,0.33846
-0.23374,-0.025004,0.28004,0.33333,0.33338,0.33341,0.34524,0.3416,0.30738,0.32151
-0.24749,-0.014339,0.25812,0.33333,0.3295,0.32703,0.32436,0.3098,0.27368,0.30453
-0.2282,-0.035797,0.22983,0.33333,0.32678,0.32254,0.31009,0.28772,0.25589,0.29107
-0.20704,-0.053286,0.21941,0.33137,0.32109,0.31319,0.30106,0.27531,0.23403,0.26052
-0.22595,-0.032573,0.25307,0.33493,0.3353,0.33657,0.33432,0.33394,0.29871,0.32987
-0.23398,-0.026438,0.22467,0.33401,0.3278,0.32422,0.31364,0.29857,0.25901,0.29205
-0.22855,-0.032746,0.23873,0.33333,0.32813,0.32477,0.30786,0.28565,0.23938,0.25899
-0.23424,-0.024829,0.25376,0.33333,0.3276,0.3239,0.30725,0.29171,0.25653,0.23807
-0.22616,-0.034171,0.22928,0.33333,0.33146,0.33025,0.31302,0.29365,0.2509,0.28041
-0.22784,-0.029322,0.21978,0.33333,0.32992,0.32773,0.30886,0.28633,0.23953,0.28924
-0.23908,-0.016283,0.24822,0.33333,0.32888,0.326,0.31244,0.29059,0.24538,0.29194
-0.23548,-0.017197,0.22847,0.33333,0.33011,0.32803,0.31365,0.29256,0.24723,0.28839
-0.23137,-0.018217,0.2385,0.3328,0.33207,0.33125,0.31914,0.30119,0.25649,0.29802
-0.22264,-0.026675,0.24506,0.33335,0.33722,0.33973,0.33569,0.33304,0.3029,0.32425
-0.23926,-0.0080893,0.27815,0.3529,0.33465,0.33551,0.33359,0.33008,0.30695,0.30313
-0.21101,-0.037251,0.26212,0.33333,0.34695,0.35574,0.33959,0.33117,0.28813,0.30222
-0.24202,-0.0068316,0.30536,0.33333,0.3503,0.36125,0.35731,0.35862,0.33021,0.33864
-0.21878,-0.029245,0.29854,0.33333,0.35094,0.3623,0.35158,0.33965,0.30938,0.33385
-0.21819,-0.031987,0.32106,0.33333,0.35535,0.36955,0.35964,0.34449,0.32143,0.34462
-0.20045,-0.052978,0.3262,0.33333,0.35162,0.36342,0.3551,0.34186,0.31254,0.33699
-0.21059,-0.046467,0.35039,0.33333,0.36221,0.38084,0.37169,0.36184,0.33592,0.3427
-0.22185,-0.040032,0.3222,0.33333,0.35127,0.36284,0.3548,0.34319,0.31426,0.32759
-0.20547,-0.060937,0.29751,0.33461,0.34054,0.3452,0.34255,0.33961,0.31389,0.33778
-0.1896,-0.079636,0.31653,0.35794,0.33409,0.33458,0.33658,0.33634,0.32094,0.34088
-0.21533,-0.057086,0.28227,0.33333,0.33331,0.3333,0.33499,0.33099,0.30157,0.3163
-0.21646,-0.056825,0.32488,0.33333,0.33826,0.34145,0.35167,0.35342,0.32471,0.33476
-0.22513,-0.053439,0.31446,0.33333,0.34154,0.34683,0.37132,0.38023,0.35448,0.34994
-0.22169,-0.059961,0.30064,0.33333,0.33534,0.33663,0.35045,0.34978,0.32183,0.3297
-0.2284,-0.056521,0.29182,0.33333,0.33203,0.33118,0.33792,0.3322,0.29608,0.3185
-0.22779,-0.059093,0.28391,0.33333,0.33272,0.33233,0.3401,0.33334,0.28552,0.31443
-0.22598,-0.063345,0.30611,0.33333,0.34099,0.34593,0.3593,0.36077,0.32533,0.33394
-0.23317,-0.05812,0.30878,0.3414,0.34304,0.3493,0.35352,0.35811,0.33104,0.34354
-0.2192,-0.073411,0.2932,0.34616,0.33731,0.33987,0.34249,0.34267,0.30745,0.35155
-0.20118,-0.093684,0.2798,0.33333,0.33304,0.33286,0.34627,0.34822,0.31035,0.33614
-0.21579,-0.082987,0.30496,0.33333,0.33175,0.33073,0.34065,0.34352,0.32903,0.34174
-0.22325,-0.077555,0.2769,0.33333,0.33293,0.33268,0.34493,0.34541,0.30553,0.32701
-0.24083,-0.062342,0.28784,0.33333,0.33279,0.33245,0.34612,0.34844,0.32249,0.33065
-0.23586,-0.070855,0.28385,0.33333,0.3362,0.33805,0.34238,0.34087,0.30541,0.32649
-0.22814,-0.081175,0.26928,0.33333,0.33633,0.33826,0.34572,0.34559,0.29196,0.32711
-0.23398,-0.07503,0.26755,0.33333,0.32703,0.32296,0.32986,0.32366,0.28178,0.31215
-0.23077,-0.077468,0.28428,0.33821,0.33239,0.33178,0.33487,0.33276,0.28848,0.32549
-0.23358,-0.07725,0.24426,0.34176,0.33054,0.32874,0.33442,0.3312,0.28925,0.32217
-0.22638,-0.084834,0.27351,0.33406,0.33377,0.33405,0.34624,0.3492,0.30087,0.33062
-0.22696,-0.084937,0.25811,0.33333,0.33081,0.32919,0.33681,0.33543,0.28855,0.32296
-0.22804,-0.083199,0.28273,0.33333,0.33198,0.33111,0.33781,0.33727,0.29322,0.33058
-0.23177,-0.078217,0.2701,0.33333,0.33173,0.33069,0.33587,0.33483,0.29591,0.32388
-0.23033,-0.078055,0.28895,0.33333,0.33259,0.3321,0.33811,0.338,0.30707,0.32701
-0.22271,-0.087564,0.26396,0.33333,0.33402,0.33447,0.3428,0.34498,0.30239,0.32941
-0.23644,-0.06954,0.28842,0.33333,0.33417,0.33471,0.34394,0.34596,0.31039,0.32886
-0.23689,-0.067288,0.30838,0.34182,0.33614,0.33795,0.33687,0.33508,0.31157,0.32434
-0.21143,-0.094291,0.30339,0.33648,0.33783,0.34074,0.34919,0.35385,0.32803,0.35427
-0.23142,-0.076686,0.27864,0.34639,0.33207,0.33126,0.34499,0.34935,0.31556,0.33331
-0.22213,-0.086197,0.29086,0.33333,0.33406,0.33452,0.3568,0.36772,0.33595,0.34561
-0.22002,-0.090686,0.30346,0.33333,0.33445,0.33517,0.35904,0.37095,0.34181,0.34468
-0.24846,-0.064639,0.28061,0.33333,0.3334,0.33344,0.34196,0.34533,0.3103,0.36985
-0.21887,-0.091943,0.27824,0.33333,0.33355,0.33368,0.34775,0.35404,0.31474,0.33463
-0.23141,-0.080695,0.2849,0.33333,0.33402,0.33446,0.34763,0.3535,0.31733,0.34552
-0.23551,-0.077954,0.30056,0.33333,0.33424,0.33483,0.35294,0.36248,0.33831,0.34012
-0.20729,-0.10822,0.31442,0.3398,0.33717,0.33965,0.35139,0.36013,0.3311,0.36008
-0.21612,-0.099346,0.31972,0.33612,0.34648,0.35497,0.36473,0.37852,0.35634,0.36163
-0.21404,-0.10382,0.32396,0.34149,0.34437,0.3515,0.35386,0.35969,0.34287,0.35312
-0.20372,-0.1149,0.30593,0.33333,0.33586,0.33749,0.353,0.36338,0.34299,0.35117
-0.21554,-0.10315,0.34032,0.33333,0.33433,0.33497,0.3432,0.34872,0.33749,0.36842
-0.20798,-0.10995,0.32795,0.33333,0.3342,0.33476,0.35603,0.36869,0.3613,0.34528
-0.21283,-0.10773,0.32032,0.33333,0.33605,0.33781,0.35592,0.36916,0.35529,0.34682
