pleasantness,eventfulness,FGfeat,birds,speech,child,bike,scooter,car,heavy
-0.052554,0.12443,0.38455,0.38271,0.41914,0.4745,0.41615,0.40487,0.40307,0.39763
0.11519,-0.044861,0.33906,0.33333,0.35685,0.37203,0.35609,0.35273,0.34341,0.3511
0.10412,-0.029981,0.32651,0.3163,0.31536,0.30377,0.31412,0.31202,0.30675,0.31835
0.14068,-0.063371,0.36546,0.37071,0.35288,0.36559,0.33148,0.30333,0.30255,0.27757
0.13967,-0.057568,0.37258,0.37211,0.36015,0.38279,0.3464,0.3341,0.34307,0.33931
0.12687,-0.043553,0.38472,0.33803,0.3908,0.42788,0.3734,0.34292,0.35467,0.36024
0.14191,-0.057211,0.36805,0.35452,0.39228,0.43031,0.3778,0.34133,0.33261,0.36983
0.17476,-0.088905,0.37925,0.36589,0.37041,0.39433,0.37467,0.36531,0.35536,0.37809
0.20474,-0.11739,0.38069,0.33399,0.37471,0.40141,0.37026,0.3576,0.34384,0.38558
0.20547,-0.11463,0.54733,0.37933,0.48244,0.48762,0.47895,0.44987,0.43564,0.40057
0.17672,-0.086736,0.66669,0.37883,0.57235,0.52219,0.55461,0.44971,0.50608,0.38197
0.21868,-0.12968,0.4743,0.40768,0.38811,0.41652,0.39036,0.36648,0.39319,0.37403
0.15225,-0.068756,0.4874,0.34857,0.49039,0.59171,0.53728,0.52172,0.53339,0.51033
0.16053,-0.077818,0.4476,0.34081,0.36713,0.38893,0.39034,0.36168,0.37562,0.38249
0.146,-0.064037,0.47975,0.35173,0.37043,0.39436,0.37853,0.36185,0.34881,0.39299
0.13854,-0.063118,0.44867,0.3682,0.37144,0.39583,0.42866,0.42399,0.43039,0.4244
0.12779,-0.056341,0.41076,0.32961,0.31073,0.29616,0.35798,0.34926,0.34152,0.3219
0.14623,-0.075391,0.43811,0.3533,0.34854,0.35572,0.36877,0.38256,0.3655,0.37891
0.11689,-0.047836,0.44783,0.3778,0.37972,0.40965,0.38585,0.37393,0.35275,0.3753
0.092528,-0.023503,0.43036,0.36954,0.34146,0.3467,0.35569,0.3646,0.31897,0.35579
0.062124,0.0066592,0.41676,0.33223,0.35566,0.37007,0.36188,0.34735,0.29986,0.36292
0.11236,-0.046911,0.43512,0.36168,0.36998,0.39212,0.38411,0.41483,0.38595,0.39937
0.081688,-0.017697,0.44859,0.35012,0.37571,0.40305,0.39352,0.41653,0.39834,0.3941
0.029358,0.037208,0.47213,0.40192,0.37388,0.40004,0.37842,0.37907,0.36487,0.369
0.011376,0.056361,0.51819,0.34169,0.42966,0.49146,0.43674,0.39094,0.38793,0.38185
-0.012051,0.07613,0.48688,0.3744,0.3951,0.43458,0.43361,0.43093,0.4283,0.40331
-0.046113,0.11089,0.40729,0.39551,0.39667,0.43753,0.41703,0.3894,0.36134,0.37921
-0.015532,0.080161,0.43346,0.43607,0.35658,0.37158,0.36282,0.36323,0.3369,0.35886
0.01815,0.036371,0.48195,0.3684,0.41145,0.46184,0.42198,0.45063,0.43878,0.45144
0.0046306,0.043823,0.4691,0.33848,0.40389,0.44941,0.4276,0.4756,0.44983,0.47325
-0.041074,0.093244,0.48004,0.37872,0.39879,0.44103,0.4189,0.44953,0.44178,0.45759
-0.023025,0.069692,0.53088,0.38698,0.38209,0.41022,0.39204,0.41082,0.42259,0.4196
0.012455,0.027784,0.47438,0.37045,0.39443,0.43384,0.40695,0.42928,0.42536,0.442
0.032514,0.0092706,0.47491,0.40544,0.41461,0.46704,0.42877,0.41817,0.40834,0.46381
0.033975,0.0085606,0.46142,0.38515,0.40875,0.4574,0.44937,0.4084,0.40519,0.43819
0.062301,-0.020598,0.49772,0.40663,0.40689,0.45434,0.42533,0.37638,0.36767,0.40809
0.053316,-0.016123,0.51529,0.46213,0.3947,0.42937,0.41077,0.39022,0.39202,0.39025
0.054438,-0.021983,0.60285,0.4066,0.57287,0.60385,0.57948,0.44266,0.45596,0.43743
0.086719,-0.058811,0.58346,0.34424,0.59694,0.63914,0.63322,0.46757,0.44246,0.47726
0.046254,-0.024193,0.50217,0.36951,0.38976,0.42697,0.43976,0.41253,0.41544,0.43828
0.12518,-0.11647,0.46584,0.37788,0.37019,0.39397,0.398,0.36475,0.35715,0.38284
0.08586,-0.085991,0.46025,0.35919,0.34232,0.34812,0.36234,0.35506,0.35193,0.36451
0.1216,-0.12867,0.46221,0.3735,0.35475,0.36856,0.3808,0.36087,0.37295,0.38137
0.046942,-0.06131,0.47996,0.48955,0.33369,0.33457,0.33304,0.3347,0.33618,0.33333
0.012268,-0.033203,0.46272,0.42993,0.34553,0.35238,0.35472,0.33373,0.34738,0.34434
0.031711,-0.056381,0.47355,0.37286,0.36108,0.37934,0.38721,0.34218,0.35615,0.35714
0.069801,-0.098707,0.4451,0.38789,0.34975,0.35897,0.36631,0.33355,0.34759,0.34631
0.047292,-0.079738,0.44059,0.37321,0.35492,0.36638,0.37471,0.34943,0.3499,0.36322
0.035896,-0.068223,0.45729,0.39065,0.3914,0.42868,0.42702,0.39569,0.41137,0.41467
0.031366,-0.067013,0.41244,0.33333,0.37223,0.39733,0.40907,0.38895,0.39547,0.39384
0.068185,-0.10846,0.39542,0.34144,0.3234,0.317,0.34804,0.33422,0.33361,0.34106
0.078506,-0.12214,0.40031,0.32329,0.31388,0.30132,0.38408,0.35955,0.36237,0.38499
0.082411,-0.13018,0.39623,0.33333,0.29683,0.27328,0.39304,0.41104,0.4058,0.38866
0.11752,-0.1629,0.34733,0.33333,0.27257,0.23336,0.31343,0.32183,0.30266,0.31316
0.13257,-0.1795,0.35598,0.39917,0.31439,0.30218,0.30939,0.31572,0.29399,0.31393
0.1119,-0.15783,0.39614,0.35839,0.41401,0.46607,0.3898,0.30688,0.29023,0.34537
0.094379,-0.13548,0.3983,0.39389,0.38369,0.41617,0.35784,0.30581,0.28985,0.31355
0.095887,-0.13818,0.41343,0.48224,0.37297,0.39854,0.35699,0.3189,0.31353,0.31966
0.10931,-0.15468,0.38713,0.36681,0.41494,0.46759,0.40427,0.34877,0.34138,0.39085
0.1112,-0.15503,0.41011,0.36725,0.3975,0.43889,0.39323,0.32838,0.33287,0.35222
0.12747,-0.16647,0.42536,0.35491,0.35704,0.37234,0.36389,0.32126,0.32436,0.35007
0.058618,-0.094844,0.42682,0.35823,0.36176,0.3801,0.38161,0.34974,0.35359,0.3858
0.056294,-0.093416,0.38284,0.33333,0.29757,0.2745,0.3209,0.32024,0.31563,0.32938
0.035436,-0.069502,0.34756,0.33333,0.29027,0.26249,0.29893,0.29866,0.29585,0.26498
0.044258,-0.077477,0.36572,0.33835,0.31013,0.29517,0.30825,0.31548,0.30224,0.30384
0.055484,-0.088623,0.36759,0.35641,0.35611,0.37089,0.33743,0.33854,0.32967,0.32911
0.08622,-0.11579,0.39527,0.35641,0.3617,0.37864,0.33779,0.32161,0.32475,0.31589
0.093118,-0.11821,0.37957,0.36471,0.36982,0.39716,0.34831,0.33267,0.3235,0.32282
0.10383,-0.12109,0.39283,0.3909,0.3734,0.39925,0.36552,0.35958,0.35569,0.36245
0.05766,-0.074242,0.36621,0.33333,0.34582,0.35387,0.33054,0.32697,0.32813,0.30286
0.099776,-0.11088,0.37051,0.33333,0.32533,0.32016,0.32029,0.31487,0.31427,0.31225
0.07632,-0.087679,0.35522,0.34446,0.34099,0.34594,0.3347,0.33299,0.32353,0.34932
0.076453,-0.087026,0.37003,0.3592,0.35345,0.36642,0.33587,0.3236,0.3194,0.35361
0.067722,-0.074397,0.39223,0.35488,0.3634,0.3828,0.35026,0.35069,0.35958,0.3578
0.061458,-0.06153,0.40278,0.36068,0.35866,0.37499,0.35898,0.3698,0.38211,0.3734
0.038261,-0.034816,0.35524,0.33333,0.33536,0.33667,0.33889,0.36422,0.36401,0.3652
0.029193,-0.02141,0.35407,0.33052,0.32284,0.31607,0.31366,0.32324,0.31527,0.33905
0.041434,-0.034042,0.36178,0.3296,0.3161,0.30498,0.30706,0.3189,0.30732,0.31667
0.067121,-0.057771,0.39409,0.3636,0.36173,0.38006,0.35305,0.3548,0.35804,0.37565
0.05703,-0.043935,0.40728,0.37225,0.36238,0.38112,0.37498,0.36785,0.37745,0.37617
0.052012,-0.036508,0.3844,0.35905,0.33925,0.34307,0.34032,0.33912,0.35619,0.34193
