pleasantness,eventfulness,FGfeat,birds,speech,child,bike,scooter,car,heavy
-0.052554,0.12443,0.40485,0.33333,0.3761,0.4037,0.37052,0.33688,0.36309,0.44389
0.14338,-0.067968,0.36355,0.33333,0.35613,0.37083,0.35412,0.34109,0.35295,0.3572
0.17341,-0.099233,0.37832,0.33333,0.34397,0.35083,0.34387,0.34099,0.35702,0.33643
0.16781,-0.094682,0.35139,0.33333,0.33747,0.34014,0.33849,0.33351,0.33889,0.32296
0.16579,-0.094127,0.38374,0.33333,0.334,0.33444,0.33444,0.33372,0.34578,0.3208
0.16919,-0.09721,0.37221,0.33333,0.33699,0.33934,0.3374,0.34143,0.34719,0.32194
0.18367,-0.11232,0.37414,0.33333,0.34882,0.35882,0.34739,0.34034,0.34862,0.3255
0.16325,-0.091029,0.36897,0.33333,0.33347,0.33356,0.33409,0.33357,0.34403,0.31609
0.15839,-0.085847,0.36769,0.33333,0.33379,0.33408,0.33382,0.33381,0.35015,0.32388
0.15358,-0.079524,0.36608,0.33333,0.33693,0.33926,0.33743,0.34545,0.35113,0.31906
0.15146,-0.078,0.36681,0.33333,0.34637,0.35173,0.34369,0.33605,0.34832,0.32136
0.14914,-0.075265,0.36777,0.33555,0.37871,0.38427,0.37183,0.34189,0.34388,0.32367
0.16979,-0.09506,0.41052,0.33419,0.45574,0.46832,0.44215,0.34519,0.35686,0.33734
0.18182,-0.10095,0.37776,0.33333,0.37504,0.36175,0.37547,0.34222,0.35799,0.33569
0.19523,-0.11517,0.39995,0.33333,0.4157,0.41943,0.41415,0.35029,0.35145,0.35127
0.20116,-0.11934,0.40512,0.33333,0.35419,0.3538,0.35915,0.3501,0.37498,0.3447
0.13296,-0.055079,0.40068,0.33333,0.3494,0.35976,0.35728,0.35877,0.38801,0.35748
0.12759,-0.052699,0.4002,0.33333,0.3396,0.344,0.34676,0.35113,0.37845,0.34097
0.11681,-0.040701,0.41275,0.33333,0.3415,0.35059,0.34556,0.34043,0.3602,0.32079
0.11278,-0.036064,0.42462,0.33333,0.36983,0.3649,0.37172,0.34311,0.36412,0.32328
0.12313,-0.046064,0.40769,0.33333,0.40511,0.44683,0.41295,0.39754,0.43509,0.39462
0.10194,-0.021612,0.43866,0.33333,0.39709,0.43822,0.40157,0.41078,0.4723,0.42765
0.10522,-0.029483,0.41165,0.33333,0.37398,0.39962,0.38492,0.38145,0.41542,0.40469
0.11716,-0.045406,0.40563,0.34166,0.37344,0.3881,0.38055,0.34765,0.36083,0.3616
0.13944,-0.068703,0.40961,0.33333,0.36415,0.38425,0.37256,0.36351,0.39869,0.37108
0.16747,-0.098492,0.42322,0.33333,0.37657,0.40447,0.39598,0.3921,0.42451,0.41128
0.1485,-0.083197,0.41609,0.33333,0.33918,0.34296,0.35226,0.36699,0.40366,0.3518
0.14566,-0.086257,0.39194,0.33333,0.33572,0.33726,0.33686,0.33716,0.36275,0.31364
0.16961,-0.11549,0.39682,0.33333,0.3569,0.34663,0.36702,0.35405,0.37374,0.34773
0.15444,-0.098816,0.3949,0.33333,0.33392,0.33429,0.35885,0.33828,0.35262,0.35144
0.14976,-0.096181,0.41477,0.33333,0.37569,0.40301,0.38387,0.33616,0.34932,0.35346
0.18561,-0.13489,0.39754,0.33333,0.35113,0.36261,0.3709,0.3577,0.37481,0.35734
0.11687,-0.06544,0.42996,0.33333,0.34068,0.34543,0.36208,0.34899,0.38281,0.35863
0.13982,-0.089472,0.5202,0.33333,0.31245,0.29897,0.3266,0.33123,0.38921,0.29748
0.082585,-0.035163,0.53676,0.36993,0.35357,0.36662,0.35762,0.34244,0.40515,0.30725
0.086005,-0.040269,0.50133,0.33333,0.36971,0.39318,0.37805,0.33742,0.37472,0.32353
0.050001,-0.0045552,0.43641,0.33227,0.3339,0.33426,0.33676,0.33769,0.36614,0.32344
0.065095,-0.018094,0.44276,0.35396,0.33697,0.33932,0.33808,0.33969,0.36464,0.32638
0.096215,-0.050378,0.45986,0.33531,0.33532,0.33661,0.33542,0.33687,0.36389,0.31686
0.079984,-0.032612,0.42633,0.35271,0.33319,0.3331,0.33478,0.3345,0.3514,0.31603
0.10039,-0.052414,0.45691,0.34605,0.35038,0.34435,0.35496,0.3391,0.37502,0.31799
0.090957,-0.046939,0.43374,0.34579,0.34708,0.34577,0.35264,0.33344,0.35363,0.31887
0.12014,-0.07826,0.42757,0.34643,0.36853,0.35694,0.36916,0.362,0.38634,0.34507
0.12912,-0.090978,0.42189,0.33333,0.34398,0.34448,0.34619,0.34704,0.36513,0.31499
0.10083,-0.064161,0.42185,0.33333,0.35724,0.37268,0.35969,0.33349,0.35133,0.32647
0.10626,-0.069429,0.42991,0.35661,0.39776,0.37441,0.40155,0.34559,0.34433,0.30678
0.12026,-0.080916,0.46998,0.33558,0.4398,0.45544,0.44371,0.35076,0.35711,0.34267
0.13818,-0.094757,0.45157,0.33333,0.36445,0.38452,0.36832,0.33668,0.37741,0.33657
0.14373,-0.1015,0.42805,0.33333,0.35076,0.36133,0.36357,0.32926,0.34898,0.29023
0.10149,-0.062168,0.415,0.33333,0.37571,0.40304,0.38766,0.33815,0.3613,0.29357
0.13662,-0.099217,0.39734,0.33333,0.36614,0.36124,0.37133,0.33173,0.35354,0.31302
0.17163,-0.13432,0.41407,0.33333,0.33887,0.33631,0.33996,0.33457,0.36813,0.30973
0.1643,-0.12818,0.39537,0.33333,0.35784,0.33018,0.35656,0.33603,0.36645,0.29518
0.17793,-0.14502,0.39193,0.33225,0.37646,0.32815,0.37866,0.34281,0.35212,0.3093
0.1849,-0.15474,0.44239,0.33333,0.38396,0.35029,0.43457,0.41275,0.43129,0.36601
0.24109,-0.21069,0.49916,0.33333,0.40504,0.36575,0.49759,0.49224,0.51095,0.4418
0.24749,-0.22485,0.4909,0.34311,0.35549,0.35111,0.39862,0.41352,0.47689,0.40437
0.15513,-0.14046,0.57364,0.42295,0.49675,0.58135,0.53192,0.53143,0.59367,0.52017
0.10619,-0.096331,0.51654,0.48469,0.38442,0.39904,0.39688,0.3894,0.42973,0.38215
0.12492,-0.12758,0.5168,0.35815,0.47472,0.53992,0.52362,0.5596,0.59802,0.56129
0.13505,-0.1525,0.51256,0.35382,0.51345,0.55452,0.53899,0.54044,0.55106,0.54486
0.096019,-0.12216,0.50691,0.33333,0.45695,0.47543,0.47898,0.48189,0.5173,0.48939
0.092096,-0.12399,0.48227,0.33333,0.4354,0.47542,0.44632,0.42914,0.47571,0.45347
0.10247,-0.14336,0.46096,0.33333,0.43282,0.49701,0.43728,0.40137,0.46608,0.43705
0.096246,-0.13557,0.44812,0.33333,0.37773,0.40506,0.39161,0.38811,0.45539,0.41437
0.10279,-0.14356,0.45644,0.33333,0.42069,0.40959,0.44865,0.40974,0.43839,0.41911
0.11019,-0.15634,0.4162,0.33333,0.34778,0.33192,0.38159,0.36321,0.40194,0.34161
