pleasantness,eventfulness,FGfeat,birds,speech,child,bike,scooter,car,heavy
-0.052554,0.12443,0.2905,0.33333,0.32164,0.31409,0.31983,0.3129,0.28886,0.31843
-0.14873,0.21288,0.30461,0.33333,0.32708,0.32305,0.32473,0.3197,0.3025,0.32707
-0.13075,0.20303,0.31232,0.33333,0.3291,0.32636,0.3273,0.32336,0.30738,0.33961
-0.078341,0.14809,0.32797,0.33333,0.32507,0.31974,0.3226,0.31549,0.30165,0.3177
-0.064412,0.13227,0.3041,0.33333,0.32655,0.32217,0.32201,0.31279,0.28974,0.32574
-0.051671,0.11887,0.29808,0.33333,0.32266,0.31577,0.32031,0.31199,0.28161,0.31682
-0.070272,0.13357,0.29192,0.33333,0.32475,0.31921,0.31834,0.30709,0.28564,0.30601
-0.059486,0.12168,0.3012,0.33333,0.32372,0.31752,0.31624,0.30675,0.28703,0.30048
-0.056017,0.11578,0.30796,0.33333,0.33187,0.33093,0.32303,0.31663,0.28773,0.31488
-0.054346,0.11128,0.29369,0.33333,0.32794,0.32446,0.31854,0.30468,0.26579,0.31249
-0.070081,0.12583,0.27854,0.33333,0.33206,0.33124,0.32585,0.31443,0.28211,0.30549
-0.088282,0.1419,0.30627,0.33333,0.32949,0.32701,0.32237,0.31395,0.28894,0.31684
-0.079074,0.13199,0.30174,0.33333,0.33042,0.32854,0.32492,0.31805,0.29275,0.30355
-0.069992,0.11906,0.27357,0.33333,0.33203,0.33118,0.32645,0.32207,0.29138,0.28839
-0.08805,0.1359,0.27795,0.33333,0.33029,0.32833,0.32395,0.31688,0.2855,0.27771
-0.092788,0.13763,0.28647,0.33333,0.32912,0.3264,0.32373,0.31712,0.29312,0.27033
-0.082633,0.12504,0.24243,0.33333,0.32923,0.32658,0.32712,0.32269,0.29172,0.2656
-0.10148,0.14422,0.25205,0.33333,0.33297,0.33273,0.32921,0.32663,0.29937,0.27907
-0.080736,0.12249,0.24245,0.33333,0.33338,0.3334,0.32768,0.32343,0.29021,0.29452
-0.081991,0.12522,0.24066,0.33333,0.33334,0.33334,0.32822,0.32427,0.28507,0.28621
-0.079838,0.12161,0.24205,0.33333,0.33191,0.33099,0.32012,0.30992,0.25916,0.29902
-0.074767,0.11574,0.25029,0.33333,0.32961,0.3272,0.32199,0.31305,0.27869,0.26769
-0.077029,0.1153,0.24531,0.33333,0.3325,0.33195,0.32413,0.31774,0.28251,0.28556
-0.06567,0.10587,0.23525,0.33333,0.33333,0.33333,0.32626,0.32119,0.28731,0.28074
-0.092102,0.13369,0.22646,0.33333,0.33333,0.33333,0.31888,0.3092,0.27307,0.3031
-0.078491,0.12201,0.24251,0.33333,0.33597,0.33768,0.32557,0.31824,0.27663,0.29567
-0.082618,0.12756,0.23349,0.33333,0.33174,0.33072,0.32033,0.31134,0.26888,0.29361
