pleasantness,eventfulness,FGfeat,birds,speech,child,bike,scooter,car,heavy
-0.052554,0.12443,0.18231,0.28288,0.33245,0.33188,0.35084,0.38711,0.33781,0.36659
-0.032952,0.10406,0.42788,0.34319,0.49251,0.47056,0.47695,0.35508,0.33854,0.33092
-0.015512,0.0835,0.26445,0.34853,0.26223,0.26773,0.27169,0.33375,0.30421,0.34149
-0.096547,0.16163,0.16301,0.33333,0.37183,0.43079,0.38949,0.46235,0.32093,0.46603
-0.042347,0.10424,0.096385,0.3254,0.30224,0.27992,0.29766,0.34762,0.16601,0.33111
0.0060152,0.057478,0.27785,0.33346,0.37364,0.39562,0.32158,0.4039,0.34311,0.36805
0.04062,0.025127,0.24152,0.3346,0.35986,0.33823,0.32833,0.34811,0.24481,0.34756
-0.017264,0.089127,0.14734,0.33329,0.32463,0.32438,0.32713,0.34101,0.16292,0.3391
-0.022274,0.1023,0.13689,0.3328,0.35653,0.37201,0.36001,0.38507,0.217,0.38116
0.0056099,0.074604,0.32127,0.33415,0.39759,0.39152,0.40461,0.4343,0.39378,0.40572
-0.010482,0.096494,0.24779,0.39561,0.35279,0.36242,0.34982,0.35806,0.27127,0.36788
-0.053738,0.1425,0.33827,0.37135,0.52185,0.48387,0.46806,0.4162,0.32773,0.35551
0.027251,0.064561,0.47635,0.33333,0.71436,0.60764,0.63887,0.49433,0.44668,0.38161
0.098422,-0.0041078,0.44573,0.33333,0.62477,0.50861,0.57429,0.45869,0.43778,0.3926
0.045615,0.041328,0.20272,0.33333,0.35456,0.34947,0.35362,0.36025,0.25134,0.38373
0.033302,0.050051,0.17361,0.33333,0.34605,0.35426,0.37261,0.39558,0.24916,0.3875
0.093876,-0.010565,0.17165,0.34671,0.34394,0.35078,0.36051,0.37537,0.22934,0.40391
0.066025,0.020159,0.19965,0.34355,0.37451,0.40108,0.38352,0.4103,0.28335,0.49406
0.039234,0.050234,0.21332,0.33333,0.37597,0.40348,0.38214,0.41168,0.28058,0.48025
0.051494,0.041911,0.20003,0.33333,0.37417,0.40052,0.3849,0.42278,0.28081,0.49891
0.072521,0.022806,0.17134,0.33333,0.35512,0.36917,0.37128,0.40597,0.26797,0.47327
0.11562,-0.020538,0.15495,0.33333,0.3401,0.34447,0.35183,0.3831,0.24591,0.38559
0.086129,0.011714,0.15314,0.33338,0.34217,0.34786,0.35135,0.38416,0.24485,0.36887
0.085003,0.015482,0.17969,0.33098,0.34578,0.35382,0.35345,0.38621,0.26177,0.36392
0.075258,0.027341,0.1598,0.33025,0.34407,0.351,0.35088,0.38354,0.25136,0.36685
0.09995,0.0088706,0.16552,0.3286,0.34203,0.34765,0.34385,0.37198,0.22853,0.34662
0.11078,0.0013006,0.16197,0.33333,0.3163,0.3053,0.32773,0.33899,0.20931,0.31379
0.093721,0.023882,0.15577,0.33333,0.32306,0.31642,0.32393,0.3266,0.19663,0.30358
0.11429,0.0080934,0.15448,0.33333,0.32196,0.31433,0.31608,0.32977,0.20228,0.25802
0.089995,0.039705,0.15847,0.33333,0.31783,0.30888,0.31131,0.33728,0.20676,0.2574
0.088219,0.046167,0.16767,0.33333,0.32272,0.31587,0.32157,0.33281,0.20455,0.26058
0.076705,0.063883,0.17923,0.33333,0.33254,0.33252,0.32355,0.33816,0.23305,0.28796
0.11522,0.029745,0.19642,0.33333,0.39476,0.43207,0.35977,0.3435,0.25897,0.28015
0.081494,0.07328,0.16953,0.33333,0.34563,0.35197,0.32888,0.33182,0.24028,0.25274
0.086285,0.07853,0.18955,0.33333,0.35951,0.33227,0.33891,0.33687,0.24705,0.2667
0.099184,0.069901,0.17446,0.33333,0.34248,0.31648,0.3222,0.32909,0.23765,0.2341
0.12115,0.052807,0.18808,0.33333,0.33154,0.30623,0.31283,0.32787,0.24153,0.24609
0.11252,0.06546,0.19419,0.33333,0.33692,0.33512,0.32669,0.32791,0.22775,0.28042
0.098549,0.083946,0.19659,0.33333,0.34201,0.3476,0.33334,0.33122,0.24136,0.29784
0.10135,0.086577,0.20071,0.33333,0.3318,0.33082,0.32606,0.32711,0.23831,0.29405
0.094032,0.10046,0.21724,0.33333,0.36988,0.39345,0.34951,0.35486,0.27824,0.33534
0.12789,0.071704,0.2372,0.33333,0.34102,0.34598,0.33704,0.33277,0.26352,0.30834
0.11082,0.091106,0.21906,0.33333,0.33751,0.34021,0.33056,0.33154,0.26583,0.26997
0.116,0.090414,0.23692,0.33333,0.39002,0.4243,0.36896,0.34878,0.29715,0.33925
0.13471,0.077778,0.20277,0.33333,0.3311,0.32967,0.31996,0.32764,0.25011,0.26629
0.10374,0.11622,0.21187,0.33333,0.35608,0.37076,0.34055,0.33294,0.26187,0.28291
0.17033,0.054935,0.23388,0.33599,0.33699,0.33877,0.33315,0.33684,0.26982,0.30128
0.13371,0.096503,0.20309,0.33419,0.34627,0.35086,0.33452,0.32958,0.25734,0.3107
0.17845,0.057262,0.18557,0.33333,0.32912,0.3264,0.32506,0.32791,0.24678,0.28243
0.16652,0.07159,0.19323,0.33333,0.33377,0.33406,0.32504,0.3309,0.24746,0.26268
0.18749,0.056281,0.21317,0.33333,0.34778,0.3571,0.33462,0.34365,0.26259,0.30888
0.16315,0.086057,0.22429,0.33333,0.33609,0.33787,0.32863,0.32965,0.25346,0.31227
0.14285,0.11074,0.24856,0.34092,0.34927,0.36058,0.33992,0.3412,0.26704,0.33391
0.19018,0.068881,0.23585,0.35504,0.33502,0.33612,0.33586,0.33791,0.2647,0.33356
0.1694,0.092217,0.20939,0.33333,0.33966,0.34404,0.34627,0.35495,0.26819,0.34937
0.17885,0.08174,0.21298,0.33333,0.36606,0.38717,0.35494,0.34695,0.27112,0.3447
0.18629,0.07818,0.20625,0.34037,0.34752,0.35668,0.3364,0.32432,0.2413,0.32736
0.21244,0.056719,0.22458,0.33333,0.3282,0.32489,0.33995,0.34662,0.27049,0.34051
0.207,0.065018,0.22644,0.33333,0.32797,0.3245,0.34433,0.35959,0.28255,0.34971
0.19898,0.073752,0.18761,0.33333,0.32104,0.31311,0.33082,0.33474,0.24806,0.31928
0.19574,0.080009,0.20786,0.33207,0.32305,0.31641,0.31888,0.31721,0.23316,0.31433
0.16946,0.11589,0.21892,0.33333,0.32117,0.31332,0.31638,0.33756,0.2229,0.31489
0.15004,0.1353,0.24886,0.33333,0.34342,0.34992,0.35136,0.37148,0.28459,0.36178
0.16383,0.12508,0.21636,0.33333,0.33099,0.32949,0.32299,0.33873,0.25729,0.29975
0.19584,0.099775,0.25219,0.33411,0.34672,0.35536,0.33012,0.33649,0.26176,0.28028
0.18844,0.10918,0.23964,0.33333,0.36155,0.37975,0.34234,0.35252,0.2818,0.35651
0.24776,0.053328,0.22525,0.33674,0.33986,0.34408,0.32516,0.33316,0.24996,0.31261
0.24872,0.056405,0.22339,0.33358,0.36581,0.38676,0.34934,0.339,0.26612,0.28983
0.27004,0.040194,0.24899,0.33333,0.38553,0.41921,0.36893,0.34516,0.28786,0.30593
0.23596,0.080278,0.20826,0.33293,0.33084,0.32923,0.32902,0.32763,0.25632,0.29839
0.22701,0.093515,0.23125,0.33333,0.33707,0.33948,0.33548,0.33413,0.26418,0.3394
0.26497,0.058607,0.23667,0.33282,0.33026,0.32827,0.33031,0.33039,0.26476,0.31662
0.23842,0.088368,0.26844,0.34964,0.33931,0.34316,0.33617,0.33334,0.27473,0.34338
0.24566,0.080108,0.26211,0.35241,0.33822,0.34137,0.33804,0.34406,0.28217,0.34942
0.25613,0.072603,0.26238,0.33333,0.33416,0.3347,0.33455,0.33399,0.26192,0.35717
0.26019,0.073411,0.24863,0.33333,0.33334,0.33335,0.3331,0.33261,0.26925,0.32725
0.20003,0.1402,0.25503,0.33333,0.33032,0.32837,0.33119,0.33309,0.26306,0.30157
0.20518,0.13999,0.26466,0.33491,0.35184,0.36378,0.35284,0.34656,0.28903,0.34785
0.23407,0.11376,0.28467,0.33705,0.3533,0.3632,0.37069,0.37958,0.32962,0.37109
0.23833,0.11143,0.28047,0.3335,0.37049,0.39446,0.36111,0.33509,0.29402,0.34269
0.28683,0.06649,0.27754,0.34667,0.3629,0.38197,0.36502,0.35204,0.30039,0.35663
0.26991,0.08535,0.31669,0.33362,0.36058,0.37815,0.37511,0.38497,0.34839,0.40399
0.27595,0.078384,0.29863,0.34726,0.33889,0.34248,0.35961,0.36744,0.32497,0.35872
0.23943,0.11439,0.28973,0.33333,0.34053,0.34517,0.355,0.36267,0.31505,0.36462
0.24221,0.11336,0.2811,0.3357,0.34295,0.34915,0.34353,0.33049,0.2874,0.34225
0.247,0.11229,0.29827,0.33353,0.34136,0.32697,0.35256,0.34627,0.30745,0.36196
0.26646,0.092028,0.29203,0.33333,0.34475,0.32057,0.34955,0.33644,0.29695,0.327
0.25084,0.1117,0.29732,0.33333,0.33777,0.33893,0.34686,0.35315,0.3198,0.34716
0.21352,0.15146,0.28051,0.33333,0.34464,0.35193,0.34816,0.35317,0.30408,0.36734
0.20795,0.1586,0.30077,0.33333,0.34795,0.35737,0.34609,0.35124,0.31252,0.33024
0.23878,0.129,0.30059,0.33333,0.34897,0.35906,0.34847,0.36292,0.32817,0.34652
0.24322,0.12624,0.3212,0.33309,0.35535,0.36956,0.35665,0.36181,0.32891,0.34768
0.21247,0.15564,0.32266,0.33915,0.36897,0.39196,0.37137,0.38119,0.3572,0.38434
0.22992,0.14288,0.29088,0.33333,0.34922,0.35948,0.35085,0.35769,0.32429,0.36432
0.25909,0.11605,0.30338,0.33333,0.35868,0.37504,0.36166,0.3714,0.33809,0.41491
0.25614,0.11935,0.28053,0.33333,0.34002,0.34434,0.34483,0.35618,0.31331,0.33921
0.24053,0.13656,0.31125,0.33333,0.34642,0.35486,0.35068,0.36157,0.32648,0.35029
0.27651,0.09957,0.31181,0.33333,0.35403,0.36739,0.35796,0.37725,0.33198,0.37866
0.27553,0.10161,0.31437,0.33333,0.35115,0.36277,0.35226,0.3715,0.33208,0.319
0.22865,0.14862,0.29648,0.33333,0.35506,0.36907,0.36371,0.37466,0.32727,0.36714
0.26798,0.11055,0.26697,0.33333,0.32375,0.31757,0.33209,0.34189,0.301,0.32539
0.2556,0.12221,0.26013,0.33333,0.33059,0.32882,0.33744,0.34086,0.29551,0.30585
0.28002,0.099643,0.29322,0.33333,0.33551,0.33692,0.34094,0.3405,0.30404,0.30607
0.2535,0.129,0.26784,0.33333,0.33603,0.33777,0.34047,0.34273,0.28925,0.29941
0.23638,0.14903,0.26744,0.33333,0.3313,0.32563,0.33583,0.33907,0.30812,0.29848
0.25793,0.13048,0.27107,0.33333,0.33549,0.32462,0.33652,0.33971,0.30082,0.29345
0.25338,0.13985,0.26642,0.33333,0.32901,0.31961,0.33284,0.34418,0.30528,0.29323
0.25575,0.14115,0.2705,0.33333,0.32816,0.32482,0.33131,0.33665,0.29882,0.30074
0.26493,0.13327,0.2792,0.33333,0.33125,0.32991,0.33306,0.33924,0.29613,0.32019
0.28952,0.11117,0.3037,0.33333,0.32552,0.32048,0.32781,0.33453,0.28347,0.33736
0.2465,0.15669,0.28755,0.33333,0.32427,0.31842,0.32553,0.32987,0.28834,0.30654
0.23408,0.17447,0.31948,0.34393,0.3449,0.35236,0.34173,0.33527,0.2839,0.33478
0.26558,0.14487,0.282,0.33333,0.32825,0.32497,0.32951,0.32917,0.28028,0.33215
0.25026,0.16499,0.28013,0.33333,0.32646,0.32203,0.3272,0.32917,0.28559,0.32626
0.27733,0.14157,0.28923,0.33255,0.34247,0.34837,0.34065,0.33603,0.29771,0.34915
0.30352,0.11661,0.27791,0.33333,0.33308,0.33292,0.33301,0.33619,0.29517,0.34895
0.29829,0.12444,0.28461,0.33333,0.33032,0.32837,0.33084,0.33097,0.29324,0.32297
0.27482,0.15037,0.27126,0.33215,0.33331,0.3333,0.33588,0.33665,0.28851,0.33566
0.27054,0.15708,0.28131,0.37284,0.33333,0.33333,0.33333,0.33333,0.29064,0.32915
0.2946,0.13324,0.26787,0.33129,0.33289,0.33261,0.33291,0.33256,0.28147,0.33044
0.26377,0.16672,0.2817,0.33397,0.3243,0.31847,0.32406,0.32076,0.27783,0.31848
0.2689,0.16468,0.28982,0.33333,0.33346,0.33354,0.33309,0.33233,0.28668,0.31244
0.22935,0.20672,0.28949,0.3422,0.33357,0.33372,0.33255,0.33348,0.29382,0.32545
0.24605,0.19304,0.26826,0.32903,0.33466,0.33552,0.33929,0.3416,0.29635,0.33629
0.30802,0.13661,0.27728,0.33647,0.33813,0.34123,0.34338,0.34834,0.29976,0.3434
0.29683,0.15278,0.27126,0.33333,0.33901,0.34268,0.34515,0.35089,0.30484,0.3392
0.26914,0.18093,0.27292,0.33333,0.33672,0.3389,0.32376,0.32829,0.27588,0.29216
0.28557,0.16818,0.27953,0.33333,0.34179,0.34725,0.33299,0.33385,0.29058,0.32635
0.26456,0.19025,0.26772,0.33333,0.33355,0.33369,0.33128,0.33381,0.29679,0.32578
0.32419,0.13113,0.28987,0.33333,0.34841,0.35813,0.345,0.35392,0.31887,0.3285
0.32012,0.1374,0.27427,0.33406,0.3414,0.3466,0.33077,0.33542,0.29874,0.29914
0.29956,0.16205,0.30089,0.33333,0.3287,0.32571,0.33818,0.34674,0.30646,0.33192
0.31088,0.1519,0.333,0.33333,0.33245,0.33188,0.34336,0.35152,0.3241,0.33021
0.32361,0.14005,0.30162,0.33333,0.32977,0.32747,0.31799,0.31249,0.2754,0.29856
0.31954,0.14701,0.29143,0.33333,0.35416,0.3676,0.35822,0.37103,0.33796,0.36711
0.33976,0.12596,0.29,0.34866,0.35435,0.36792,0.34519,0.35192,0.3234,0.33369
0.32577,0.14126,0.30376,0.33378,0.35911,0.37575,0.34748,0.36493,0.32866,0.32052
0.32449,0.14716,0.29111,0.33333,0.34986,0.36053,0.33752,0.34862,0.30852,0.28192
0.3195,0.15567,0.28075,0.33333,0.35421,0.36767,0.33957,0.34734,0.3073,0.2931
0.31565,0.15875,0.29769,0.33333,0.36685,0.38847,0.35146,0.35644,0.32204,0.33276
0.33114,0.14365,0.28962,0.33333,0.35778,0.37355,0.35037,0.35746,0.32589,0.34413
0.33552,0.14147,0.29396,0.33333,0.36987,0.39344,0.36005,0.35353,0.31446,0.33874
0.33879,0.13908,0.31041,0.33333,0.38005,0.41019,0.37002,0.35,0.32537,0.31804
0.31391,0.16897,0.32511,0.33333,0.3833,0.41554,0.37232,0.3526,0.33548,0.2992
0.23748,0.24916,0.30873,0.33333,0.36468,0.38491,0.3625,0.35534,0.33372,0.32311
0.30937,0.18043,0.29993,0.33333,0.36582,0.38678,0.36541,0.36262,0.32517,0.33211
0.30632,0.18237,0.3089,0.33333,0.36722,0.38908,0.36837,0.35008,0.32408,0.3464
0.33347,0.15662,0.3071,0.33333,0.35464,0.36839,0.35921,0.34735,0.3248,0.31817
0.33465,0.15702,0.33344,0.33333,0.36973,0.39321,0.37111,0.33025,0.3202,0.29133
0.2941,0.20557,0.31911,0.33333,0.36033,0.37775,0.36446,0.33594,0.32456,0.30756
0.31349,0.18738,0.30726,0.34335,0.36218,0.38079,0.36677,0.34355,0.33266,0.30599
0.29678,0.20157,0.31736,0.33333,0.3598,0.37688,0.36586,0.34167,0.32284,0.30004
0.306,0.19178,0.32403,0.33333,0.3271,0.32308,0.33825,0.32919,0.30266,0.26738
0.30104,0.1972,0.31775,0.33333,0.35023,0.36113,0.35665,0.32163,0.30814,0.26786
0.31261,0.19049,0.34924,0.33333,0.35736,0.37287,0.36451,0.34496,0.33751,0.28652
0.28266,0.22061,0.29984,0.33333,0.33531,0.33659,0.34493,0.32542,0.30843,0.24859
0.27468,0.22798,0.2859,0.33333,0.33887,0.34244,0.34503,0.32736,0.29513,0.24918
0.30074,0.20338,0.29597,0.33333,0.34627,0.35462,0.35273,0.33247,0.31169,0.25609
0.29905,0.20665,0.29604,0.33333,0.34052,0.34516,0.33999,0.33891,0.30906,0.25324
0.26978,0.23799,0.28582,0.33333,0.33222,0.33151,0.33235,0.33179,0.30993,0.26668
0.26568,0.24343,0.28697,0.33057,0.33295,0.3327,0.33338,0.3358,0.31118,0.30476
0.25144,0.26146,0.2698,0.33333,0.33601,0.33773,0.33766,0.33333,0.30283,0.26034
0.26313,0.25571,0.27947,0.33333,0.33231,0.33165,0.32635,0.3176,0.29321,0.30362
0.25746,0.26567,0.28536,0.33333,0.32922,0.32657,0.32151,0.31496,0.29109,0.30994
0.26099,0.2633,0.28259,0.33333,0.32862,0.32557,0.33266,0.32838,0.30468,0.32061
0.25709,0.27132,0.28549,0.33333,0.32586,0.32104,0.32148,0.31547,0.28785,0.27715
0.28324,0.24819,0.30634,0.33333,0.36579,0.38672,0.34911,0.33618,0.30539,0.31292
0.31347,0.22009,0.32905,0.33333,0.38496,0.41936,0.37767,0.35818,0.33598,0.37092
0.31269,0.22079,0.31873,0.33333,0.34949,0.35991,0.34927,0.34334,0.33182,0.34064
0.32464,0.2078,0.32477,0.33333,0.3757,0.40303,0.36371,0.36095,0.34607,0.35114
0.32957,0.20397,0.3316,0.33333,0.3515,0.36323,0.34531,0.34211,0.33437,0.30328
0.32093,0.21319,0.30797,0.33333,0.3519,0.36388,0.34641,0.3397,0.32851,0.28496
0.33711,0.19593,0.31875,0.33333,0.35858,0.37487,0.35327,0.34444,0.33048,0.29671
0.31547,0.21829,0.30554,0.33333,0.35602,0.37065,0.35292,0.34736,0.32232,0.30736
0.31482,0.22021,0.29191,0.33333,0.33878,0.34229,0.33874,0.33478,0.31749,0.28642
0.31243,0.22462,0.33793,0.33333,0.3489,0.35894,0.34865,0.34221,0.33824,0.29755
0.29468,0.23923,0.31248,0.33333,0.33555,0.33698,0.33613,0.32745,0.32273,0.30106
0.3169,0.21953,0.29866,0.33333,0.31876,0.30936,0.32458,0.32072,0.30114,0.2906
0.31227,0.22531,0.32249,0.33333,0.37047,0.39442,0.36841,0.33782,0.33196,0.2972
