pleasantness,eventfulness,FGfeat,birds,speech,child,bike,scooter,car,heavy
-0.052554,0.12443,0.31732,0.33333,0.3296,0.32719,0.33025,0.33333,0.32352,0.35372
0.016596,0.060795,0.32942,0.33333,0.33721,0.33971,0.33745,0.33413,0.32341,0.3623
0.040856,0.039248,0.3252,0.33333,0.33333,0.33333,0.33333,0.33333,0.32423,0.34476
0.049343,0.034358,0.33039,0.33333,0.33344,0.3335,0.33325,0.33308,0.32964,0.34454
0.021131,0.067345,0.34077,0.33333,0.33534,0.33663,0.33526,0.33628,0.33123,0.33698
0.0078176,0.085377,0.31923,0.33333,0.33333,0.33333,0.33333,0.33333,0.32687,0.35195
0.035393,0.063939,0.35008,0.33333,0.34493,0.35241,0.34358,0.34373,0.34531,0.3569
0.066526,0.032683,0.35445,0.33338,0.36596,0.38701,0.36179,0.34491,0.34359,0.37615
0.04133,0.061236,0.3699,0.33333,0.38324,0.41543,0.37796,0.33333,0.32574,0.35371
0.0074165,0.10136,0.34142,0.33333,0.33802,0.34104,0.33813,0.33333,0.32993,0.3677
0.036424,0.076395,0.36604,0.33333,0.33497,0.33602,0.33512,0.33612,0.34907,0.36675
0.067921,0.048467,0.35714,0.33333,0.33372,0.33397,0.33432,0.33594,0.34404,0.38537
0.073716,0.04465,0.3278,0.33333,0.33042,0.33029,0.33187,0.33595,0.33421,0.37562
0.078942,0.043812,0.36114,0.33333,0.37088,0.38642,0.37196,0.35049,0.34853,0.41803
0.10948,0.014227,0.38334,0.33332,0.36992,0.39352,0.37452,0.3638,0.37189,0.44762
0.082428,0.044351,0.36809,0.33318,0.35339,0.36634,0.35383,0.33448,0.33719,0.41223
0.068382,0.061057,0.35641,0.33333,0.33333,0.33333,0.33333,0.33333,0.33308,0.38917
0.089292,0.043528,0.34912,0.33333,0.33317,0.33307,0.33338,0.33347,0.3323,0.381
0.079354,0.05476,0.38542,0.33333,0.33397,0.33438,0.33755,0.34075,0.34439,0.389
0.044479,0.092132,0.39248,0.33333,0.3465,0.34854,0.35014,0.35532,0.35465,0.41109
0.069525,0.067092,0.36111,0.33333,0.34118,0.34529,0.346,0.35392,0.35247,0.39636
