pleasantness,eventfulness,FGfeat,birds,speech,child,bike,scooter,car,heavy
-0.052554,0.12443,0.41276,0.33333,0.34765,0.35689,0.36103,0.3855,0.39778,0.37259
0.029215,0.038906,0.33057,0.33128,0.33738,0.33999,0.3414,0.36264,0.33992,0.37108
0.050524,0.013034,0.27316,0.33673,0.32352,0.3172,0.32185,0.32829,0.30194,0.34481
0.060831,0.0044209,0.25231,0.32856,0.33874,0.34222,0.32937,0.33445,0.29066,0.34734
0.11811,-0.046046,0.26916,0.33655,0.33229,0.33162,0.33089,0.33499,0.30078,0.36322
0.080418,-0.0032751,0.50705,0.40263,0.35691,0.36913,0.35275,0.354,0.37167,0.38936
0.039523,0.036517,0.48355,0.35488,0.44498,0.48288,0.42403,0.39908,0.45124,0.44064
0.039673,0.042934,0.42774,0.37069,0.35736,0.34349,0.36956,0.37538,0.36873,0.34675
-0.012543,0.092241,0.44468,0.33285,0.37562,0.38315,0.40732,0.41312,0.44566,0.39344
0.081067,-0.0092718,0.5324,0.33333,0.37056,0.33542,0.38711,0.41003,0.47217,0.36127
0.041556,0.030241,0.40242,0.33333,0.36244,0.33001,0.36101,0.34205,0.35607,0.36732
0.043441,0.031162,0.53233,0.36323,0.40599,0.36419,0.39338,0.35843,0.45587,0.34671
0.057937,0.01446,0.36956,0.33812,0.35043,0.35959,0.34889,0.34285,0.35985,0.37871
0.037656,0.034144,0.50537,0.33333,0.37114,0.3804,0.37074,0.36493,0.42277,0.35871
0.023767,0.047987,0.45935,0.3305,0.35556,0.37009,0.34862,0.365,0.38784,0.36206
0.076281,-0.0083023,0.35337,0.38146,0.33605,0.3378,0.33515,0.33651,0.33278,0.36442
0.01484,0.051496,0.48075,0.42872,0.34801,0.3576,0.36337,0.36545,0.39726,0.36692
0.012409,0.054022,0.38634,0.38946,0.34359,0.34936,0.37547,0.37691,0.37363,0.36224
0.11524,-0.050903,0.4582,0.44863,0.42232,0.47887,0.45428,0.44629,0.44817,0.53615
0.088672,-0.02536,0.43555,0.38767,0.33897,0.3294,0.35047,0.34053,0.33893,0.3629
0.030273,0.034571,0.47099,0.33333,0.41718,0.39936,0.43104,0.35875,0.37588,0.36472
0.046757,0.0095062,0.3959,0.35467,0.34356,0.35622,0.35748,0.34365,0.35619,0.3713
0.02938,0.028875,0.36336,0.33333,0.32335,0.31808,0.32887,0.32963,0.35928,0.3541
0.030147,0.032315,0.372,0.33297,0.31962,0.31078,0.32199,0.33403,0.34154,0.34327
0.043468,0.018986,0.4474,0.33333,0.35491,0.34875,0.35414,0.34247,0.41742,0.35553
0.093997,-0.032535,0.41909,0.33702,0.35346,0.3583,0.35391,0.34606,0.38896,0.39857
0.049327,0.015938,0.37553,0.33531,0.3355,0.33689,0.3367,0.33673,0.34269,0.37083
0.03327,0.035183,0.38733,0.33333,0.34513,0.33729,0.34092,0.3357,0.36831,0.3683
0.043982,0.024641,0.39448,0.39499,0.35302,0.36095,0.36111,0.36093,0.37822,0.45878
0.05168,0.016552,0.4727,0.34756,0.49186,0.57828,0.51064,0.44247,0.44899,0.52352
0.10212,-0.036261,0.40564,0.33402,0.3814,0.4074,0.38411,0.36105,0.38101,0.46799
0.1243,-0.059894,0.459,0.3362,0.43861,0.49687,0.4472,0.41366,0.44282,0.48958
0.097133,-0.037365,0.39665,0.33333,0.4114,0.462,0.42911,0.42975,0.43893,0.57517
0.11152,-0.056548,0.4297,0.33333,0.33274,0.32441,0.34455,0.34657,0.41429,0.43684
0.086104,-0.032318,0.33824,0.33333,0.32588,0.32107,0.33366,0.33878,0.33455,0.38564
0.099442,-0.050097,0.3439,0.33333,0.32918,0.32651,0.33313,0.33791,0.3342,0.37624
0.099435,-0.045748,0.32541,0.33333,0.32611,0.32146,0.32928,0.33176,0.32205,0.35491
0.066537,-0.0094492,0.29712,0.33333,0.32471,0.31915,0.32983,0.33519,0.3271,0.36
0.046182,0.012926,0.31807,0.33333,0.33405,0.33452,0.33635,0.35301,0.36053,0.35816
0.089417,-0.031526,0.37727,0.33333,0.32609,0.32142,0.32372,0.34111,0.33194,0.36654
0.02332,0.036019,0.41114,0.33333,0.33535,0.33664,0.33294,0.3435,0.38027,0.46418
0.062831,-0.0030349,0.3594,0.33333,0.34005,0.34438,0.34128,0.35087,0.36306,0.46639
0.06437,-0.00061753,0.31832,0.33333,0.33567,0.33718,0.33896,0.3492,0.34785,0.42245
0.07746,-0.010209,0.297,0.33333,0.32442,0.31868,0.3252,0.33457,0.32476,0.38427
0.10506,-0.03772,0.28227,0.33333,0.32704,0.32297,0.32858,0.33134,0.31379,0.35441
0.06898,0.0026585,0.32696,0.33333,0.35516,0.36925,0.35021,0.37062,0.35728,0.40313
0.10534,-0.033585,0.33103,0.33333,0.35452,0.36819,0.34783,0.36274,0.3611,0.36915
0.078434,-0.006439,0.31167,0.33333,0.34212,0.34779,0.33866,0.33467,0.32354,0.39383
0.084908,-0.011424,0.31437,0.33402,0.33333,0.33333,0.33335,0.33425,0.33273,0.37248
0.097277,-0.019968,0.35882,0.3353,0.34883,0.35884,0.3529,0.36755,0.37439,0.40366
0.11027,-0.028391,0.36331,0.33333,0.38383,0.40683,0.39003,0.41508,0.42456,0.46587
0.10526,-0.023027,0.32251,0.33333,0.36043,0.37766,0.3559,0.34404,0.34358,0.39893
